Cruise,CTD,Bottle,Description,Beads/mL,Proc/mL,Proc_SSC,Proc_Chl,Syn/mL,Syn_SSC,Syn_PE,Syn_Chl,Pico/mL,Pico_SSC,Pico_Chl,Nano/mL,Nano_SSC,Nano_Chl,Total Euk/mL,Bact/mL Corrected,Bact_FSC,Bact_SSC,Bact_Green,cruise,cast,bottle,type,month,day,year,latitude,longitude,pressure,temp,salinity,ctdfchl,ctdtrns,ctdoxy,potemp,potdens,hplc_2_3l,hplc_color,poc_2_7l,pic_2_7l,coccos_vol,microlugol,rema_id,dep_n,dep_med,dep_75ms25,tem_n,tem_med,tem_75ms25,sal_n,sal_med,sal_75ms25,chl_n,chl_med,chl_75ms25,chl_drk,chl_slp,cdm_n,cdm_med,cdm_75ms25,cdm_drk,cdm_slp,bbp_n,bbp_med,bbp_75ms25,bbp_drk,bbp_slp,station
Perle2,24,5,P2_024_05,5489.451476793249,17056.962025316454,0.03,0.564,16451.476793248945,0.065,3.744,17.622,552.7426160337553,0.67,254.188,223.62869198312237,19.908,1810.476,776.3713080168777,373577.9586096042,0.179,0.013,0.201,PERLE2,24,6,PHYTOFLOAT,3,2,2019,34.2405,23.664666666666665,74.173,15.6082,39.0511,0.0991,88.7165,235.098,15.5964,28.9623,P2_024_06,TRANSPARENT,P2_024_05,P2_024_05,P2_024_06 (3L),P2_024_05,4064,52,74.473,0.121,52,15.608,0,52,39.051,0,52,89,2,0.0072,44,52,42,1,0.0903,38,52,141,3.5,1.66e-6,46,24
Perle2,24,8,P2_024_08,5751.054852320675,17261.904761904763,0.029,0.36,19730.15873015873,0.087,2.216,10.052,464.13502109704643,0.742,236.408,253.16455696202533,40.062,1646.751,717.2995780590718,385103.17460317456,0.128,0.013,0.196,PERLE2,24,9,PHYTOFLOAT,3,2,2019,34.2405,23.664666666666665,10.371,15.5826,39.0362,0.0967,88.4108,237.288,15.5809,28.9543,P2_024_09,TRANSPARENT,P2_024_08,P2_024_08,P2_024_09 (3L),P2_024_08,4064,84,10.358,0.077,84,15.58,0.002,84,39.035,0.001,84,88,2,0.0072,44,84,42,1,0.0903,38,84,147,4,1.66e-6,46,24
Perle2,24,8,P2_024_08,5484.496124031008,17355.555555555555,0.031,0.388,22910.852713178294,0.103,3.676,15.778,263.5658914728682,0.73,140.86,472.86821705426354,8.46,1380.623,736.4341085271317,379203.2679738562,0.135,0.013,0.189,PERLE2,24,9,PHYTOFLOAT,3,2,2019,34.2405,23.664666666666665,10.371,15.5826,39.0362,0.0967,88.4108,237.288,15.5809,28.9543,P2_024_09,TRANSPARENT,P2_024_08,P2_024_08,P2_024_09 (3L),P2_024_08,4064,84,10.358,0.077,84,15.58,0.002,84,39.035,0.001,84,88,2,0.0072,44,84,42,1,0.0903,38,84,147,4,1.66e-6,46,24
Perle2,46,1,P2_046_01,7441.860465116279,116.66666666666667,0.098,2.547,313.95348837209303,0.068,2.046,15.074,NA,NA,NA,NA,NA,NA,NA,180448.0392156863,0.135,0.014,0.246,PERLE2,46,1,PHYTOFLOAT,3,5,2019,33.53876,25.30876,150.325,15.4211,39.1102,0.0115,89.6327,209.274,15.3971,29.054,NA,NA,NA,NA,P2_046_01 (4L),P2_046_01,4064,101,150.236,0.045,101,15.42,0.003,101,39.11,0.001,101,44,1,0.0072,44,101,43,1,0.0903,38,101,116,6,1.66e-6,46,46
Perle2,46,3,P2_046_03,6318.352059925093,25415.73033707865,0.029,0.595,15992.50936329588,0.069,3.432,18.047,2846.441947565543,0.417,143.472,1089.887640449438,15.512,1485.077,3936.3295880149813,486898.8764044944,0.072,0.01,0.169,PERLE2,46,3,PHYTOFLOAT,3,5,2019,33.53876,25.30876,50.166,16.059,39.2298,0.2244,87.5533,231.649,16.0508,28.9935,NA,NA,NA,NA,"P2_046_03 (A:3.5L, B:2.5L)",P2_046_03,4064,93,50.181,0.028,93,16.059,0,93,39.23,0,93,164,2.5,0.0072,44,93,42,1,0.0903,38,93,177,6.5,1.66e-6,46,46
Perle2,46,3,P2_046_03,8127.906976744186,22105.555555555555,0.03,0.553,18461.24031007752,0.067,3.745,18.493,2445.736434108527,0.316,84.013,1558.139534883721,3.761,1238.403,4003.875968992248,473259.1503267974,0.138,0.012,0.19,PERLE2,46,3,PHYTOFLOAT,3,5,2019,33.53876,25.30876,50.166,16.059,39.2298,0.2244,87.5533,231.649,16.0508,28.9935,NA,NA,NA,NA,"P2_046_03 (A:3.5L, B:2.5L)",P2_046_03,4064,93,50.181,0.028,93,16.059,0,93,39.23,0,93,164,2.5,0.0072,44,93,42,1,0.0903,38,93,177,6.5,1.66e-6,46,46
Perle2,46,5,P2_046_05,5497.890295358649,12151.898734177215,0.021,0.131,25181.434599156117,0.058,1.443,5.733,1459.915611814346,0.727,163.96,514.7679324894515,19.605,1300.441,1974.6835443037976,343578.2599959815,0.128,0.013,0.187,PERLE2,46,5,PHYTOFLOAT,3,5,2019,33.53876,25.30876,7.451,16.2649,39.1239,0.0858,87.4482,239.226,16.2637,28.8613,NA,NA,NA,NA,P2_046_05 (3.5L),P2_046_05,4064,97,7.374,0.049,97,16.264,0.004,97,39.124,0,97,75,2.5,0.0072,44,97,41,2,0.0903,38,97,155,3,1.66e-6,46,46
Perle2,60,1,P2_060_01,5097.046413502109,817.4603174603175,0.047,1.207,976.1904761904761,0.062,1.577,12.151,282.70042194092827,0.443,160.708,50.63291139240506,39.953,883.797,333.3333333333333,266611.1111111111,0.134,0.011,0.185,PERLE2,60,1,PHYTOFLOAT,3,7,2019,34.1635,26.109833333333334,149.988,15.5125,39.1631,0.0236,89.4048,219.331,15.4886,29.0737,NA,NA,NA,NA,P2_060_01 (4L),P2_060_01,4064,33,149.959,0.021,33,15.512,0.004,33,39.163,0.001,33,50,0.5,0.0072,44,33,42,0.5,0.0903,38,33,127,5,1.66e-6,46,60
Perle2,60,5,P2_060_05,4886.0759493670885,24215.189873417723,0.02,0.146,43383.966244725736,0.056,1.433,5.867,1654.0084388185653,0.739,151.932,582.2784810126582,17.886,1303.34,2236.2869198312237,449245.12758689973,0.156,0.013,0.196,PERLE2,60,5,PHYTOFLOAT,3,7,2019,34.1635,26.109833333333334,4.825,16.1634,39.2199,0.1186,86.9776,238.611,16.1626,28.9593,NA,NA,NA,NA,P2_060_05 (3L),P2_060_05,4064,84,4.89,0.053,84,16.149,0.02,84,39.219,0,84,83,2,0.0072,44,84,42,2,0.0903,38,84,179,5.5,1.66e-6,46,60
Perle2,67,1,P2_067_01,5067.510548523207,396.8253968253968,0.029,0.775,396.6244725738397,0.061,6.382,48.231,59.07172995780591,0.532,241.831,NA,NA,NA,59.07172995780591,131293.6507936508,0.171,0.011,0.248,PERLE2,67,1,PHYTOFLOAT,3,8,2019,33.592666666666666,28.80516666666667,150.195,15.48,39.1339,0.0123,89.6146,212.412,15.456,29.0587,NA,NA,P2_067_01,NA,P2_067_01 (4L),P2_067_01,4064,79,150.154,0.025,79,15.471,0.045,79,39.132,0.011,79,47,1,0.0072,44,79,43,0.5,0.0903,38,79,113,4,1.66e-6,46,67
