Class	Species	Biovolume (µm3)	O22_21	O22_22	O22_24	O23_21	O23_22	O23_24	O24_21	O24_22	O24_24	O25_21	O25_22	O25_24	O12_21	O12_10	O12_12	TNS06_21	TNS06_22	TNS06_24	TNS08_21	TNS08_22	TNS08_24	A3_1_21	A3_1_22	A3_1_24	A3_2_21	A3_2_22	A3_2_24	KERFIX_21	KERFIX_22	KERFIX_24	FS_21	FS_22	FS_24	O11_21	O11_22	O11_24	SI_21	SI_22	SI_24	TB1
1	Pseudo-nitzschia	996	0	32	2	0	403	629	4	0	174	0	21	56	6	88	65	0	7	10	0	0	3	0	5	3	0	0	0	0	12	27	0	39	22	3	56	47	4	168	204	0
1	Proboscia alata	152608	0	0	0	0	0	2	0	0	1	0	5	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	1	3	0
1	Proboscia inermis	83629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	2	0	2	1	0	0	0	0	4	1	0	1	3	0	0	0	0	0	0	0
1	Rhizosolenia antennata	35343	0	2	0	0	0	0	0	0	3	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Rhizosolenia chunii	19860	0	0	0	0	0	0	0	0	0	0	3	1	0	24	18	0	0	0	0	0	4	0	0	0	0	1	1	0	3	4	0	20	12	0	0	0	0	2	2	0
1	Rhizosolenia curvata	49936	0	0	0	0	3	8	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	Rhizosolenia simplex	34557	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	Rhizosolenia styliformis	96635	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	2	0
1	Small centric (<20 µm)	1982	15	10	16	7	19	33	23	10	56	18	33	17	25	44	124	32	101	244	6	25	42	38	36	63	0	35	78	24	123	70	36	107	88	8	27	20	10	22	19	39
1	Thalassionema nitzschioides	163	0	0	0	6	4	8	9	0	3	4	51	28	37	280	471	340	138	208	174	318	306	302	207	327	515	236	386	9	5	27	0	106	89	0	28	67	6	0	15	21
1	Thalassiosira antarctica	2815	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	79	0	91	143	0	77	95	0	0	0	0	0	0	0	0	0	0	0	18	0
1	Thalassiosira australis	678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
1	Thalassiosira gracilis	1131	0	0	0	0	0	0	0	0	0	8	0	3	12	8	33	2	7	4	12	0	0	8	0	0	24	0	0	8	0	5	18	101	82	11	18	16	10	2	8	0
1	Thalassiosira gravida	68698	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	6	4	1	4	3	4	2	1	0
1	Thalassiosira lentiginosa	73794	0	0	0	0	0	0	0	0	0	0	0	0	2	24	16	4	13	18	30	9	3	10	3	4	7	12	13	4	3	10	4	48	32	17	47	28	5	28	30	0
1	Thalassiosira tumida	101788	0	0	0	0	3	1	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0
1	Thalassiothrix longissima	89064	0	0	3	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Thalassiothrix antarctica	121372	0	0	0	0	0	0	0	0	1	0	0	3	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22	4	0
